ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
SELECT,SELECTIONNER,AUSWÄHLEN,ITA,ESCOGER
BACK,RETOUR,ZURÜCK,ITA,REGRESAR
NEXT,SUIVANT,WEITER,ITA,PROXIMO
MENU,MENU,MENÜ,ITA,MENU
OPTIONS,OPTIONS,OPTIONEN,ITA,OPCIONES
DELETE,SUPPRIMER,LÖSCHEN,ITA,BORRAR
DISCARD,ABANDONNER,VERWERFEN,ITA,DESECHAR
DETAIL,DETAIL,DETAIL,ITA,DETALLE
GPS,GPS,GPS,ITA,GPS
GPS:,GPS:,GPS:,ITA,GPS:
SLOPE,PENTE,HANG,ITA,INCLINACION
FAVORITE,FAVORI,FAVORIT,ITA,FAVORITO
CANCEL,ANNULER,ABBRECHEN,ITA,CANCELAR
START,COMMENCER,START,ITA,INICIAR
RETRY,RE-ESSAYER,WIEDERHOLEN,ITA,REINTENTAR
ON,ALLUME,EINSCHALTEN,ITA,PRENDER
OFF,ETEINT,AUSSCHALTEN,ITA,APAGAR
OK,OK,OK,ITA,OK
N/A,S.O.,K.A.,ITA,N/A
SAVE,SAUVEGARDER,SPEICHERN,ITA,GUARDAR
NEW TEST,NOUVEAU TEST,NEUER TEST,ITA,NUEVA PRUEBA
SNOW PROFILES,PROFILS DE NEIGE,SCHNEEPROFILE,ITA,PREFILES DE NIEVE
FAVORITES,FAVORIS,FAVORITEN,ITA,FAVORITOS
SETTINGS,REGLAGES,EINSTELLUNGEN,ITA,AJUSTES
MASS STORAGE,STOCKAGE DE MASSE,MASSENSPEICHER,ITA,ALMACENAMIENTO MASIVO
BLUETOOTH TRANSFER,TRANSFER BLUETOOTH,BLUETOOTH ÜBERTRAGUNG,ITA,TRANSFERENCIA BLUETOOTH
NEW SNOW PROFILE,NOUVEAU PROFIL DE NEIGE,NEUES SCHNEEPROFIL,ITA,NUEVA PERFIL DE NIEVE
SLOPE MEASUREMENT,MESURE DE PENTE,HANGNEIGUNGSMESSUNG,ITA,MEDICI”N DE INCLINACION
SETTINGS SEL,SELECTION DES REGLAGES,AUSWAHLEINSTELLUNGEN ,ITA,AJUSTES SEL
CONFIG SETTINGS,CONFIGURATION DES REGLAGES,KONFIGURATIONSEINSTELLUNGEN,ITA,CONFIGURAR LOS AJUSTES
SETTINGS MENU,MENU DES REGLAGES,EINSTELLUNGSMENÜ,ITA,MENU DE AJUSTES
DELETE TEST?,EFFACER LE TEST?,TEST LÖSCHEN?,ITA,BORRAR PRUEBA?
DELETE ALL,TOUT EFFACER,ALLES LÖSCHEN,ITA,BORRAR TODOS
DELETE ALL TESTS,EFFACER TOUS LES TESTS,ALLE TESTS LÖSCHEN,ITA,BORRAR TODAS PRUEBAS
IN THIS FOLDER?,DANS CE REPERTOIRE?,IN DIESEN ORDNER?,ITA,EN ESTA CARPETA?
DELETE FILE?,EFFACER LE FICHIER?,DOKUMENT LÖSCHEN?,ITA,BORRAR CARPETA?
DELETE ALL IN FOLDER?,TOUT EFFACER DANS LE REPERTOIRE?,ALLE IM ORDNER LÖSCHEN?,ITA,BORRAR TODO EN CARPETA?
DELETING FOLDER...,EFFACEMENT DU REPERTOIREƒ,LÖSCHEN DES ORDNERS...,ITA,BORRANDO CARPETA
ALIGN PROBE,ALIGNER LA SONDE,SONDE AUSRICHTEN,ITA,ALINEAR EXPLORADOR
PRESS,APPUYER,DRÜCKEN,ITA,PRESIONAR
TO BEGIN,POUR COMMENCER A CALIBRER,ZUM STARTEN,ITA,EMPEZAR
  CALIBRATING,  CALIBRAGE,KALIBRIERUNG ,ITA,  CALIBRACION
COLLECTING DATA,COLLECTION DES DONNEES,DATEN SAMMELN,ITA,COLECTANDO DATOS
COMPASS CALIBRATION,CALIBREMENT DE LA BOUSSOLE,KOMPASS-KALIBRIERUNG,ITA,CALIBRACION DE LA BR˜JULA
GPS LOCK ACQUIRED!,SATELLITES GPS ACQUIS,GPS DATEN ERHALTEN!,ITA,GPS ADQUIRIDO
GPS INFORMATION,INFORMATION GPS,GPS INFORMATION,ITA,INFORMACION GPS
ACQUIRED!,ACQUIS!,ERHALTEN!,ITA,ADQUIRIDO
PLEASE ENTER THE,SVP ENTRER LE,??? BITTE DEN EINGEBEN (doesnt make any sence in German... also articles change...???),ITA,FAVOR DE ENTRAR
ENTER,ENTRER ,ERFASSEN,ITA,ENTRAR
MANUAL ENTRY,MANUELLE ENTRER,MANUELLER EINTRAG,ITA,ENTRADA MANUAL
ASPECT,ASPECT,EXPOSITION,ITA,ASPECTO
ERROR,ERREUR,FEHLER,ITA,ERROR
REMOVE SDCARD,RETIRER LA SDCARD,SD-KARTE ENTFERNEN,ITA,RETIRAR LA TARJETA SD
PLEASE INSERT,SVP INSERER,BITTE EINFÜHREN,ITA,FAVOR DE INSERTAR
A VALID SDCARD,UNE SDCARD VALIDE,EINE GÜLTIGE SD-KARTE,ITA,VALIDO TARJETA SD
TO THE DEVICE,DANS LÍAPPAREIL,INS GERÄT,ITA,AL APARATO
REBOOTING,REDEMARRAGE,NEUSTARTEN,ITA,REINICIENDO
REBOOTING...,REDEMARRAGE...,NEUSTARTEN...,ITA,REINICIENDO...
REBOOT,REDEMARRER,NEUSTART,ITA,REINICIO
SW REBOOT,REDEMARRAGE DU LOGICIEL,SOFTWARE NEUSTART,ITA,REINICIO DE SOFTWARE
FIRMWARE UPDATE,MISE A JOUR DU FIRMWARE,FIRMWARE UPDATE,ITA,FIRMWARE ACTUALIZADA
  FAILED,  ECHOUE,FEHLGESCHLAGEN,ITA,  FALTA
  PLEASE,  SVP,BITTE,ITA,  POR FAVOR
RECONNECT TO PC,RECONNECTER AU PC,ERNEUT MIT DEM PC VERBINDEN,ITA,VOLVER DE CONECTAR AL PC
 AND TRY AGAIN,ET ESSAYER DE NOUVEAU,UND ERNEUT VERSUCHEN,ITA,INTENTAR OTRA VEZ
NEW FIRMWARE,NOUVEAU FIRMWARE,NEUE FIRMWARE,ITA,FIRMWARE NUEVA
  DETECTED,  DETECTE,FESTGESTELLT,ITA,  DETECTADO
PRESS SELECT,PRESSE SELECTIONNER,AUSWAHL DRÜCKEN,ITA,PRESIONAR ESCOGER
  TO REBOOT,  POUR REDEMARRER,ZUM NEUSTARTEN,ITA,  REINICIAR
  VALIDATING,  VALIDATION,ÜBERPRÜFUNG,ITA,  VALIDANDO
GRAPH CUT AT PAUSE,FOO,GRAFIK UNVOLLSTÄNDIG,ITA,RECORTA GRAFICO EN PAUSA
